5	0.1
 (Oth	m	1
 (PP)	 	1
 (PRS	I	1
 (PSO	E	1
 (PT)	 	2
 (PWR	)	1
 (Par	t	1
 (RFI	D	2
 (Rei	t	5
 (Rys	s	1
 (S&D	)	2
 (SAD	C	3
 (SAP	S	1
 (SEK	(	27
 (SGB	)	2
 (SIS	 	1	)	5
 (SMF	)	3	:	1
 (SNP	)	1
 (SPS	)	1
 (SUB	)	2
 (SUR	E	2
 (Sin	g	1
 (Sma	l	1
 (Sou	t	1
 (TAC	)	1
 (TEN	-	4
 (TFT	P	1
 (Tob	i	1
 (Tur	i	1
 (UKI	P	1
 (ULT	)	1	-	2
 (UND	P	1
 (UNH	R	1
 (USA	,	1
 (Une	c	1
 (Unh	a	1
 (VEU	)	1
 (Ver	s	1
 (Vi 	f	1
 (V√§	r	1
 (WEE	)	1
 (WHO	)	2
 (WTO	)	20
 (WWF	)	1
 (Wen	r	2
 (You	t	1
 (all	m	1
 (anp	a	1
 (art	i	11
 (as 	l	1
 (att	 	1
 (av 	5	1	P	1	t	1
 (ban	k	1
 (bar	a	1
 (bef	o	1
 (beg	r	4
 (bla	n	1
 (bl√	•	2
 (bri	s	1
 (bru	t	2
 (b√•	d	2
 (car	a	1
 (com	m	1
 (dat	a	3
 (de 	b	1	f	1	s	2
 (deb	a	10
 (del	a	1
 (den	 	1
 (det	 	5
 (dvs	.	2
 (d√§	r	1
 (ell	e	3
 (en 	√	1	l	1
 (eng	a	1
 (enh	e	1
 (eta	n	2
 (eur	o	4
 (exe	m	5
 (fac	k	1
 (fas	t	1
 (for	t	4
 (fr√	§	6	•	1
 (f√∂	r	10
 (gem	e	2
 (gen	o	2
 (glo	b	1
 (han	t	1
 (huv	u	1
 (hyg	i	1
 (h√∂	j	4
 (i M	e	1
 (i e	t	1	x	1
 (i f	r	1
 (i m	e	1
 (i p	u	1
 (i s	y	1
 (i t	i	1
 (inb	e	3
 (ing	i	2
 (ino	m	1
 (ins	√	2
 (int	e	1
 (inv	e	1
 (jag	 	2
 (jor	d	7
 (jun	i	1
 (kli	m	1
 (kod	i	6
 (kon	k	2	t	1	v	3
 (kor	t	4
 (kri	s	33
 (kvo	t	1
 (k√§	l	1
 (lag	e	1
 (lan	d	1
 (luf	t	1
 (med	 	1
 (mel	l	1
 (mer	 	3
 (min	n	1
 (mis	s	1
 (ni 	m	1
 (nr 	1	1
 (n√§	r	2
 (oav	s	1
 (och	 	10
 (ock	s	1
 (om 	√	1
 (omr	√	1
 (per	s	1
 (pla	i	1
 (pun	k	3
 (p√•	 	1
 (rad	i	1
 (reg	i	1
 (res	u	1
 (r√§	t	3
 (r√•	d	1
 (sam	m	1
 (san	k	2
 (sem	i	1
 (sic	)	1
 (skr	i	1
 (sky	d	1
 (soc	i	1
 (som	 	9
 (sta	d	1	t	2
 (sup	e	1
 (sys	s	1	t	1
 (s√§	r	4
 (t.e	x	5
 (tec	k	1
 (til	l	7
 (tj√	§	1
 (tr√	§	1
 (und	e	1
 (upp	 	1	f	1
 (urs	p	1
 (utr	i	4
 (uts	i	1
 (vac	c	1
 (var	a	2
 (vat	t	1
 (vi 	h	1
 (vil	k	4
 (vol	f	1
 (v√§	x	1
 (√§n	d	1
 (√§v	e	2
 (√•t	e	1
 (√∂p	p	1
 (Œë7	-	1
 (Œü-	0	1
 (‚Äù	c	3	k	1	n	4	v	1
 + 5-	√	1
 - "I	n	1
 - (E	N	1
 - (F	√	1
 - (P	T	2
 - (f	√	1
 - 10	-	1
 - 15	 	1
 - 17	 	2
 - 20	 	1	0	4	1	3
 - 27	 	1
 - 4 	c	1
 - 40	 	1
 - 5 	8	1
 - 51	,	1
 - 60	 	1
 - 7 	m	1
 - 97	 	1
 - Af	r	1
 - An	t	1
 - At	t	5
 - B7	-	12
 - C7	-	37
 - Ca	r	1
 - Ce	p	1
 - Co	r	1
 - De	 	1	t	1
 - ED	F	1
 - ET	F	1
 - EU	 	3	-	1	:	3
 - Eu	r	13
 - Ev	a	1
 - Fr	a	1
 - F√	∂	1
 - Ge	n	2
 - Gr	e	2
 - He	r	1
 - Ho	l	1
 - In	l	1	t	1
 - Ir	l	1
 - It	a	1
 - Jo	s	1
 - J√	°	1
 - Kr	a	2
 - Ma	r	1
 - M√	•	2
 - No	r	2
 - Pr	o	2
 - Re	g	1
 - Ru	m	1
 - SV	)	1
 - Sa	r	1
 - Si	t	1
 - Sv	e	1
 - Ti	l	2
 - Ty	s	1
 - Uk	r	1
 - Ut	v	1
 - Ve	r	2
 - V√	•	1
 - ag	e	1
 - al	d	1	l	11
 - an	n	2	s	4	t	2	v	1
 - ar	b	1
 - at	t	75
 - av	 	7	g	1	s	1
 - ba	k	1	r	2
 - be	d	1	f	3	h	1	r	3	t	3
 - bi	s	1
 - bl	i	1	o	1
 - br	o	1
 - b√	•	11	∂	9
 - co	h	1
 - da	t	1
 - de	 	13	l	2	n	25	s	2	t	52
 - di	n	1
 - do	c	1	m	1
 - dr	a	1
 - du	 	2
 - dv	s	8
 - dy	r	1
 - d√	§	15	•	5
 - ef	t	12
 - ek	o	3
 - el	l	23
 - en	 	44	d	2	l	4
 - er	b	1	k	1
 - et	t	19
 - ex	e	2	p	1	t	1
 - fa	k	1	n	1
 - fe	d	1
 - fi	n	3	s	1
 - fo	r	1
 - fr	√	8	a	4
 - f√	•	1	∂	46
 - ge	n	10
 - gj	o	1
 - gr	u	2
 - g√	§	1	•	4	∂	2
 - ha	d	2	n	1	r	21
 - he	l	4	n	1
 - hi	s	1
 - ho	n	1	p	1
 - hu	r	3
 - h√	§	1
 - i 	√	1	E	2	V	1	a	3	b	1	d	11	e	3	f	6	g	1	h	2	i	1	j	1	l	1	m	1	p	2	s	12
 - ib	l	4
 - ic	k	1
 - ig	e	1
 - in	b	1	c	1	f	2	k	7	n	3	o	2	s	1	t	27	v	3
 - ja	,	4	g	33
 - jo	r	1
 - j√	§	1
 - ka	n	10
 - ko	m	18	n	2	p	1	r	2
 - kr	√	3	a	1
 - ku	l	1	n	1
 - kv	a	2
 - la	d	1	g	2	n	1
 - le	d	1
 - li	g	1	k	8	s	1	t	1	v	1
 - l√	§	2	•	5	∂	2
 - ma	n	2	r	1
 - me	a	1	d	17	l	1	n	19	r	3
 - mi	l	1	n	2
 - mo	b	1	d	1	n	1	t	1
 - my	c	1	n	1
 - m√	§	4	•	18	∂	1
 - na	n	1	t	2
 - ne	j	1
 - ni	 	2
 - nu	 	3	v	1
 - ny	a	2
 - n√	§	9	•	5
 - oa	v	3
 - ob	e	1	s	1
 - oc	h	227	k	3
 - ok	l	1
 - ol	i	1
 - om	 	18	f	1	r	1
 - or	g	1	s	1
 - pa	r	1
 - pe	n	1
 - po	l	1
 - pr	a	1	e	3	i	1	o	3
 - p√	§	1	•	8
 - re	d	1	g	3	s	2	v	1
 - ri	k	1	s	1
 - r√	§	2	∂	2
 - sa	m	13	n	1
 - se	 	1	k	1	n	1	t	1
 - sj	√	1
 - sk	a	11	u	2	y	1
 - sl	√	1	u	1
 - sn	a	3
 - so	l	1	m	126
 - sp	e	3
 - st	√	5	i	2	r	1	y	1
 - s√	§	21	•	18
 - t.	e	3
 - ta	c	3	r	2
 - te	x	1
 - ti	l	22
 - to	l	1
 - tr	e	1	o	2
 - tv	√	1
 - ty	d	2	v	3
 - t√	§	2
 - un	d	3	g	1	i	1
 - up	p	4
 - ur	 	1
 - ut	a	8	b	1	g	1	s	1	t	1
 - va	d	2	r	13
 - ve	r	1
 - vi	 	10	d	2	l	31	s	2
 - vo	r	1
 - v√	§	2	•	3
 - yt	t	1
 - √Ñ	n	1
 - √Ö	r	1
 - √ñ	k	2	v	4
 - √§	n	7	r	44	v	10
 - √•	r	1	t	8
 - √∂	k	1	v	5
 - Œí	7	1
 - ‚Ä	ù	5
 -, k	o	1
 -, o	c	2
 -, r	e	1
 -, s	o	1
 -,,b	e	26
 -,,d	e	1
 -..N	√	3
 -..b	e	2
 -200	5	1
 -ins	t	1
 -kvi	n	1
 -pro	g	3
 -sam	a	1
 -utv	e	1
 ... 	B	1	D	1	S	1	e	1	m	1	o	1	v	1
 ....	A	2	B	1	D	7	E	1	F	1	I	1	J	4	L	1	N	1	O	1	P	1	S	1
 ...‚	Ä	1
 0 an	s	1
 0 oc	h	1
 0,1 	p	1
 0,2 	p	1
 0,48	 	1
 0,5 	p	1
 0,55	 	1
 0,7 	p	6
 0,8 	p	1
 0-, 	E	1
 0. N	√	1
 000 	√	2	U	1	a	7	c	1	d	2	e	33	f	6	i	5	k	2	l	4	m	7	n	2	o	1	p	23	s	8	t	14	u	1	v	3
 000)	 	1
 000-	6	1
 000.	 	1
 0003	/	1
 0014	/	1
 047 	5	1
 07.0	0	2
 1 (k	o	2
 1 00	0	7
 1 20	0	7
 1 30	0	1
 1 33	6	1
 1 35	0	1
 1 49	8	1
 1 50	0	2
 1 60	0	1
 1 70	0	3
 1 80	0	1
 1 US	-	2
 1 ap	r	3
 1 be	v	1
 1 b√	∂	2
 1 de	c	5
 1 eu	r	4
 1 f√	∂	1
 1 ja	n	10
 1 ju	l	4	n	3
 1 ka	n	1
 1 ma	j	1	r	1
 1 mi	l	4
 1 no	v	1
 1 nu	 	1
 1 ok	t	1
 1 om	 	1
 1 pr	o	11
 1 re	s	1
 1 ti	l	2
 1 √§	r	1
 1) E	U	1
 1) G	r	1
 1) P	a	1
 1) a	n	1	t	2
 1) f	√	2
 1) i	n	1
 1) u	p	1
 1, 2	 	2	,	1
 1, d	√	1	e	1
 1, s	o	1
 1,06	 	2
 1,11	 	2
 1,17	 	1
 1,2 	m	1	t	1
 1,25	 	2
 1,3 	m	1
 1,4 	m	1	p	1
 1,5 	G	1	m	1	p	1
 1,6 	m	1
 1,9 	m	1	p	1
 1- o	c	1
 1-me	d	1
 1-re	g	2
 1. D	e	2
 1. E	u	2
 1. I	n	1
 1. L	a	1
 1..V	i	1
 10 0	0	4
 10 1	0	2
 10 d	e	1
 10 e	u	1
 10 f	e	1
 10 h	e	1
 10 j	u	2
 10 m	a	2	e	1	i	4
 10 n	e	1
 10 p	r	21
 10 s	o	1
 10 √	§	3	•	2
 10, 	o	1
 10-1	5	1
 10-√	•	1
 100 	√	1	0	8	M	1	d	1	e	1	k	1	l	1	m	10	p	7
 100-	2	1	d	1
 100:	e	1
 102 	m	1
 104 	e	1	n	1
 1060	/	3
 108 	i	1
 11 A	 	1
 11 a	p	1	v	1
 11 e	l	1
 11 j	u	1
 11 m	a	5
 11 n	o	2
 11 o	c	1
 11 p	o	1	r	2
 11,6	 	1
 11.1	 	1
 11.2	,	1
 11.3	0	1
 110 	m	5
 113 	m	1
 115 	0	2	m	1
 115.	5	3
 12 0	0	3
 12 a	p	2	u	1
 12 j	u	1
 12 l	e	1
 12 m	√	1	a	3	i	4
 12 n	o	1
 12 o	c	1
 12 t	o	3
 12 v	e	1
 12 √	•	1
 12) 	t	1
 12,6	 	1
 12.0	0	1
 120 	e	1	m	7
 121 	i	1	o	1
 1215	/	3
 1222	,	1
 123 	i	2
 124 	m	2
 126 	i	1
 126.	2	1
 13 a	p	3	v	1
 13 d	e	1
 13 f	√	1
 13 i	 	1
 13 m	√	1	e	1
 13 o	c	1
 13 p	√	1	e	1	r	3
 13 s	y	1
 13, 	d	1
 130 	t	1
 132 	7	1
 1331	/	1
 134 	(	1
 136 	m	1
 137 	o	2
 138 	i	2
 14 9	0	1
 14 a	p	3
 14 d	a	5
 14 f	√	1	e	1
 14 j	u	10
 14 m	e	2	i	4
 14 o	k	2
 14 p	r	2
 14) 	a	1
 14,4	 	1
 14-d	a	3
 14. 	M	1
 14.0	0	1
 143 	k	3
 145-	h	1
 1466	/	3
 1467	/	4
 147 	4	1
 147-	1	1
 148,	 	1
 149 	i	1
 149)	)	1
 149.	8	2
 15 0	0	3
 15 a	v	1
 15 f	a	1	r	1
 15 g	√	1
 15 j	u	3
 15 m	√	1	a	1	e	2	i	1
 15 p	r	13
 15 s	a	1	e	1
 15 t	i	2
 15 √	•	11
 15,6	 	2
 15-2	0	1	5	1
 15.0	0	1
 150 	√	1	m	1	o	1	p	3
 152 	m	1
 153 	i	1	m	1
 154 	a	1
 1541	/	8
 157 	f	1
 1593	.	1
 16 0	0	1
 16 f	√	1
 16 m	e	1	i	2
 16 s	e	1
 16 √	•	2
 16, 	1	1
 16,8	 	1
 16. 	F	1	U	1
 160 	0	1	m	3
 1600	-	1
 1612	/	2
 162 	m	1
 166 	f	1
 167 	o	1
 17 0	0	1
 17 a	k	1
 17 e	k	1
 17 i	 	2
 17 j	a	6
 17 m	a	5	i	2
 17 o	b	1	l	3
 17 p	r	6
 17 r	e	2
 17 t	j	1
 17,4	 	1
 17-1	8	1
 17.1	 	1
 17.2	 	1
 170 	i	2	m	1	p	1
 171 	f	2
 174 	i	2	p	1
 175 	p	2
 178 	i	1
 179.	1	1	2	1
 18 0	0	1
 18 a	p	2
 18 h	√	1
 18 i	 	1
 18 j	u	1
 18 m	√	2	a	5	i	2
 18 n	o	3
 18 o	c	1
 18 p	r	1
 18 r	e	2
 18 √	•	1
 18, 	o	1
 18-2	3	1	4	1
 1848	,	1
 1852	/	1
 19 a	p	1
 19 d	e	1
 19 l	√	1
 19 m	√	1
 19 o	c	1	k	9
 19,9	 	1
 19.0	0	2
 19.4	0	1
 1900	-	8
 1905	/	10
 1914	 	1	.	1
 1919	 	1
 192 	i	1
 1927	/	1
 1929	 	1
 1930	-	3
 1939	 	1
 194 	m	1
 1940	?	1
 1941	 	4
 1948	 	1
 1949	 	1	,	2
 1950	-	1
 1956	,	1	.	1
 1957	 	1
 1960	-	1
 1961	,	1
 1963	,	1	-	1
 1967	 	3
 1968	 	1
 1970	 	4	,	1	-	4
 1973	 	3	.	1
 1974	 	2
 1976	 	2	,	1
 1979	 	1
 1980	 	1	,	1	-	5
 1984	 	2	,	1
 1985	 	3	.	1
 1986	 	12	,	2
 1987	 	5
 1989	 	2	,	1	.	2
 1990	 	5	-	4	.	1
 1991	 	1
 1992	 	11	-	1	.	3
 1993	 	3	.	1	/	1
 1994	 	6
 1995	 	4
 1996	 	5	,	2	.	5
 1997	 	4	.	1
 1998	 	3	,	2	-	1
 1999	 	2	,	2	.	2	/	5
 19:e	 	1
 1: I	 	1
 1:2 	o	1
 2 00	0	3
 2 04	7	1
 2 50	0	2
 2 57	5	1
 2 80	0	2
 2 83	4	12
 2 84	3	1
 2 90	0	2
 2 de	c	1
 2 fe	b	1
 2 f√	∂	1
 2 i 	f	1
 2 ju	l	1
 2 ma	j	1
 2 mi	l	6
 2 oc	h	3
 2 pr	o	5
 2 so	m	1
 2) B	e	1
 2) R	e	1
 2) a	t	2
 2) d	e	2
 2) f	√	1
 2) h	√	1
 2) r	i	1
 2) v	i	1
 2, 3	 	1
 2,2 	p	1
 2,22	 	1
 2,3 	G	1
 2,5 	p	6
 2,6 	m	1	p	3
 2,7 	p	2
 2,8 	p	2
 2,9 	p	1
 2-0 	o	1
 2-fo	r	1
 2-re	g	2
 2. E	u	3
 2. F	√	1
 2. I	n	1
 2. L	√	1
 20 0	0	3
 20 a	p	1	u	1	v	1
 20 d	√	1	e	5
 20 f	e	1
 20 h	e	3
 20 i	 	1
 20 j	a	1	u	2
 20 m	a	4	i	6
 20 o	k	1
 20 p	r	36
 20 s	e	3
 20 t	i	2
 20 √	•	13
 20) 	o	1
 20, 	2	2	e	1
 20,6	 	1
 20-2	0	1	5	1
 20-3	4	1
 20-m	√	1
 20-p	r	9
 20. 	M	1
 200 	0	2	M	4	b	2	i	1	m	11	n	1	r	1
 2000	 	6	)	1	,	4	-	7	.	1	/	6
 2001	 	4	/	2
 2002	 	8
 2003	 	9	.	3	/	8
 2004	 	5	,	6	-	1	.	3	/	2
 2005	 	10	,	4	-	3	.	6
 2006	 	24	,	12	.	3	/	9	?	1
 2007	 	18	,	7	-	31	.	8	/	3	?	1
 2008	 	45	)	1	,	12	-	1	.	16	/	3
 2009	 	149	)	2	,	39	-	3	.	68	/	1	:	11
 2010	 	97	)	2	,	18	-	3	.	29	/	5
 2011	 	66	)	1	,	26	-	11	.	39	/	1
 2012	 	37	)	1	,	10	.	18
 2013	 	73	,	23	-	3	.	46	3	1
 2014	 	15	,	5	-	10	.	11	;	1	?	1
 2015	 	9	,	5	.	13
 2019	 	2	.	1
 2020	‚	1	 	34	,	9	-	291	.	18	:	5	;	2
 2021	.	1
 2025	 	1	.	4
 2030	 	1
 2050	 	3	,	1	.	4
 206 	o	1
 207 	i	1
 207.	1	5
 208 	i	1
 21 i	 	3
 21 j	u	2
 21 m	a	2	i	2
 21 o	c	1	k	1
 21 p	r	11
 21 √	•	1
 21,1	 	1
 21,3	 	1
 210 	i	1
 216 	i	1
 218 	i	1
 22 0	0	1
 22 a	 	1
 22 d	a	1	e	2
 22 j	u	2
 22 m	a	2	e	1
 22 p	e	2	r	3
 22 s	e	1	o	1	t	1
 22 √	§	1
 22),	 	1
 22,6	 	1
 22,8	2	1
 22.2	 	1
 220 	0	2
 227 	5	1
 22:a	 	1
 23 0	0	1
 23 a	v	1
 23 f	e	1
 23 i	 	1
 23 j	u	2
 23 m	a	2	i	15
 23 n	o	1
 23 p	e	2
 23 s	e	1
 23 √	•	1
 23).	 	1
 23, 	i	1
 23,3	 	1
 23,8	 	1
 23-2	4	2
 230 	a	1	m	4
 24 a	v	1
 24 f	e	1
 24 h	a	1
 24 j	a	1	u	10
 24 m	√	1	a	4	i	2
 24 o	c	2
 24 p	r	2
 24 s	√	1	p	2
 24 t	i	1
 24 √	•	1
 24-2	5	1
 249 	m	1
 25 0	0	12
 25 2	0	1
 25 a	p	2
 25 f	e	1	o	1
 25 i	 	1
 25 j	u	2
 25 k	i	1
 25 l	√	2
 25 m	a	4	e	3
 25 p	r	11
 25 s	t	1
 25 t	o	1
 25 √	•	7
 25-p	r	3
 25-t	a	1
 25-√	•	2
 250 	p	1
 258/	9	1
 26 0	0	1
 26 a	p	2
 26 j	a	2
 26 m	a	6	e	2	i	1
 26 p	r	2
 26 r	e	1
 26 √	•	1
 26,2	 	1
 26.2	 	1
 260 	m	1
 262 	r	1
 27 0	0	1
 27 E	U	2
 27 f	a	1
 27 g	√	1
 27 i	 	1	c	2
 27 l	√	1
 27 m	e	36
 27 n	a	1	o	4
 27 o	l	6
 27 p	r	4
 27 s	a	1	t	1
 27 t	i	1
 27 u	t	1
 27, 	d	1
 27. 	E	1
 270 	m	1
 271 	r	4
 276 	n	1
 28 c	e	3
 28 f	e	1
 28 i	 	3
 28 j	u	2
 28 m	a	2	i	1
 28 s	e	2	t	1
 28 √	•	1
 28,5	 	2
 283.	2	1
 286.	1	2	2	1
 28:e	 	3
 29 a	p	1
 29 e	l	1
 29 i	 	1
 29 j	u	2
 29 p	r	1
 29 s	e	5
 29 t	i	1
 290 	i	5
 2:1.	 	1
 2¬∞C	.	1
 3 - 	o	1
 3 00	0	1
 3 33	0	1
 3 40	0	1
 3 52	9	1
 3 90	0	3
 3 GH	z	1
 3 av	 	1
 3 el	l	1
 3 f√	∂	1
 3 i 	E	3	d	1	f	2
 3 ma	j	4
 3 mi	l	1
 3 m√	•	2	∂	2
 3 oc	h	3
 3 ok	t	1
 3 om	 	1
 3 pr	o	9
 3 sa	n	1
 3 sk	a	1
 3 st	√	1
 3 ti	l	1
 3 x 	2	2
 3 √§	r	2
 3 √∂	k	1
 3) a	t	2
 3) d	e	2
 3) f	i	1
 3) h	√	1
 3) i	n	1
 3) √	ñ	1
 3, f	√	1
 3, m	e	1
 3, t	i	1
 3,1 	p	1
 3,2 	p	1
 3,4 	m	1
 3,5 	o	1	p	2	t	3
 3,5-	1	1
 3,6 	p	1
 3,7 	m	3	p	1	r	1
 3,7.	 	1
 3-4 	i	1	p	1
 3-fo	r	1
 3. E	u	2
 3. F	√	1
 3. P	√	1
 3..S	l	1
 3.2 	i	1
 30 0	0	11
 30 M	b	5
 30 a	r	1
 30 e	u	1
 30 i	 	1
 30 j	a	1	u	2
 30 m	i	4
 30 n	o	1
 30 p	e	1	r	18
 30 s	a	1	e	4	j	1
 30 √	•	7
 30-3	1	1
 30-p	r	4
 30-√	•	1
 300 	√	1	0	5	M	1	a	1	e	1	m	6	p	1	s	1
 300,	 	1
 3030	/	5
 3090	/	1
 31 d	e	10
 31 i	 	1
 31 j	u	2
 31 m	a	3
 31 o	c	1	k	1
 31 p	r	1
 31 t	i	5
 31, 	s	1
 311 	i	1
 313 	0	1
 317 	i	2
 318 	i	1
 32 b	r	1
 32 i	 	1
 32 p	e	1	r	1
 32, 	a	1
 33 m	i	2
 33 p	r	7
 33, 	u	1
 330 	m	1
 336 	p	1
 34 i	 	2
 34 m	i	1
 34 o	b	1
 34, 	m	1
 34,8	 	1
 347 	m	1
 349 	i	1
 35 e	u	3
 35 l	√	1
 35 o	c	1
 35 p	r	3
 35 √	•	1
 35,7	 	1
 350 	0	1	e	1	m	1	o	1
 352 	f	1	i	1
 36 (	d	1
 36 i	 	2
 36 o	c	1
 36 p	r	1
 36,1	 	1
 360 	m	1
 363 	0	1
 36:e	 	3
 37 -	 	1
 37 p	r	1
 37 r	√	2
 37 √	§	1
 37, 	e	1
 37,5	 	3	-	1	0	1
 37d,	 	1
 38 i	 	1
 38 p	r	2
 38,5	 	1
 39 i	 	1
 39 p	r	1
 39 t	i	1
 390 	j	1
 391 	e	1
 3: E	n	4
 3: k	o	1
 3a o	m	1
 4 (M	o	1
 4 ce	n	4
 4 fe	b	1
 4 fi	n	1
 4 ju	n	1
 4 ma	j	3	r	1
 4 m√	•	2
 4 oc	h	1
 4 pr	o	3
 4 ti	l	1
 4 un	d	1
 4) a	t	2
 4) e	u	1
 4) f	i	1
 4) m	e	1
 4) r	e	1
 4). 	P	1
 4, e	t	1
 4, m	e	1
 4, s	o	1
 4,25	 	1
 4,7 	p	1
 4,9 	p	3
 4. D	e	1
 4. F	√	1
 4. T	j	1
 4.1 	i	1
 4.2 	i	5
 4.2:	 	1
 40 0	0	4
 40 d	a	1
 40 f	a	1
 40 m	a	1	i	3
 40 o	l	1
 40 p	r	30
 40 s	i	1
 40 √	•	1
 40-p	r	1
 40-t	a	1
 400 	0	3	f	4	m	5	p	1	s	1	t	1
 41 i	 	1
 415 	m	1
 42 6	7	2
 42 o	c	1
 42 p	r	4
 42-p	r	1
 43 -	 	1
 43 f	√	1
 43 p	r	3
 43, 	s	1
 43,5	 	1
 432 	0	1
 435 	m	1
 44 0	0	1
 44 e	m	1
 44 k	a	1
 44 o	m	1
 44 p	r	1
 44, 	s	2
 45 a	n	1
 45 c	e	1
 45 i	 	1
 45 p	r	1
 450 	m	1
 46 m	e	1	i	4
 46 p	r	1
 468 	r	1
 47 0	0	1
 48 d	a	1
 48 m	i	1
 48 p	r	1
 48 t	i	3
 480 	m	1
 49 m	i	2
 498 	a	1
 4:1 	t	1
 5 + 	5	1
 5 00	0	2
 5 58	0	1
 5 80	0	1
 5 GH	z	1
 5 el	l	2
 5 ju	n	1
 5 ma	j	4
 5 mi	l	4
 5 oc	h	6
 5 pr	o	14
 5 se	p	1
 5 so	m	1
 5) d	e	1
 5,2 	m	1
 5,5 	m	3
 5,8 	m	1
 5-9 	p	7
 5-√•	r	1
 5. B	e	1
 5..J	a	1
 50 -	 	1
 50 0	0	10
 50 e	l	1
 50 i	 	1
 50 m	i	4
 50 p	r	27
 50 s	i	1
 50 √	§	1	•	3
 50-p	r	2
 500 	0	1	e	3	i	1	m	28	p	2
 502 	m	1
 51 e	f	1	t	1
 51 h	a	1
 51 i	 	6
 51 m	i	2
 51 o	c	1
 51 s	o	1
 51 √	§	1
 51, 	f	1
 51,5	 	1
 51. 	G	1	V	1
 52 m	i	1
 52 p	r	1
 523 	m	1
 529,	3	1
 54 0	0	1
 54 m	i	3
 54 n	e	1
 55 0	0	2
 55 o	m	1
 550 	0	1	m	1
 56 0	0	1
 56 t	i	1
 560 	t	1
 575 	0	1
 58 r	e	1
 58. 	D	1
 580 	m	1
 593 	3	1	9	3
 593/	2	1
 6 ap	r	2
 6 be	t	1
 6 da	g	1
 6 fe	b	4
 6 in	n	1
 6 ju	l	1
 6 ma	j	2
